ID,GP_1_plus1_RT_diff,GP_2_plus1_RT_diff,GP_3_plus1_RT_diff,GP_4_plus1_RT_diff,GP_7_plus1_RT_diff,mellekmondat_1_plus1_RT_diff,mellekmondat_2_plus1_RT_diff,mellekmondat_3_plus1_RT_diff,mellekmondat_4_plus1_RT_diff,mellekmondat_5_plus1_RT_diff,mellekmondat_6_plus1_RT_diff,mellekmondat_7_plus1_RT_diff,mellekmondat_8_plus1_RT_diff,mellekmondat_9_plus1_RT_diff,mellekmondat_10_plus1_RT_diff,mnGP_1_plus1_RT_diff,mnGP_3_plus1_RT_diff,mnGP_8_plus1_RT_diff,mnGP_9_plus1_RT_diff,mnGP_10_plus1_RT_diff,morf_1_plus1_RT_diff,morf_2_plus1_RT_diff,szemantikai_1_plus1_RT_diff,szemantikai_2_plus1_RT_diff,szemantikai_3_plus1_RT_diff,szambeli_1_plus1_RT_diff,vonzat_2_plus1_RT_diff,vonzat_3_plus1_RT_diff,vonzat_6_plus1_RT_diff,GP_1_target_RT_diff,GP_2_target_RT_diff,GP_3_target_RT_diff,GP_4_target_RT_diff,GP_7_target_RT_diff,mellekmondat_1_target_RT_diff,mellekmondat_2_target_RT_diff,mellekmondat_3_target_RT_diff,mellekmondat_4_target_RT_diff,mellekmondat_5_target_RT_diff,mellekmondat_6_target_RT_diff,mellekmondat_7_target_RT_diff,mellekmondat_8_target_RT_diff,mellekmondat_9_target_RT_diff,mellekmondat_10_target_RT_diff,mnGP_1_target_RT_diff,mnGP_3_target_RT_diff,mnGP_8_target_RT_diff,mnGP_9_target_RT_diff,mnGP_10_target_RT_diff,morf_1_target_RT_diff,morf_2_target_RT_diff,szemantikai_1_target_RT_diff,szemantikai_2_target_RT_diff,szemantikai_3_target_RT_diff,szambeli_1_target_RT_diff,vonzat_2_target_RT_diff,vonzat_3_target_RT_diff,vonzat_6_target_RT_diff
1204,0.267205,0.157555,0.300975,,0.21601,-0.05976,-0.113735,-0.103535,0.009845,0.12723,0.19405,0.066825,-0.13839,,-0.23575,-0.114515,0.054425,0.093815,0.382,-0.028005,-0.04848,0.353605,0.49771,0.110225,0.030315,0.355035,0.367015,0.815665,0.044395,0.322415,0.098695,0.088775,,0.152725,-0.09895,0.116225,-0.08271,0.039775,0.033515,0.1225,-0.023115,-0.202705,,-0.301515,-0.16742,0.09605,-0.200585,0.15861,0.39264,-0.19924,0.55234,0.186235,0.089135,-0.058335,0.173855,-0.058255,0.502415,-0.021235
1205,0.297475,0.43385,-0.08106,0.16316,0.402015,-0.01933,,,0.44264,-0.167135,2.81663,-0.58036,-0.00908,0.183855,1.586075,0.027565,0.198265,0.182385,0.86283,0.0684,-0.968865,0.615985,0.36835,0.932835,0.220795,1.047485,0.687905,0.328255,0.56942,-0.498725,0.35918,-0.15799,0.25067,0.507255,-0.19447,,,0.22035,-0.10509,-0.110735,-2.12375,-0.021475,-0.309825,0.249925,0.20548,0.077935,-0.084745,-0.285205,0.46821,-0.073865,0.0163,0.51751,0.06765,0.198055,0.06311,0.22862,1.233165,0.457
1206,,0.260575,1.910775,,1.60847,0.42657,-0.28937,-0.224525,-0.563855,-0.037175,-0.29272,0.376885,-0.07797,-0.0918,-0.001925,-0.481885,0.089265,-0.366475,0.448575,0.48527,-1.067265,0.633705,,0.17801,0.96417,-0.072005,0.39337,-0.107635,-0.246205,1.002895,0.477265,0.081755,1.296555,0.344785,0.369615,-0.131985,0.074835,-0.132575,-0.00962,0.29691,0.101585,0.55772,-0.084705,-0.003715,-0.267195,-0.28109,-0.563945,2.26478,0.58027,-0.743075,1.112265,,0.31154,0.67779,0.55226,0.561975,0.170385,1.073565
1207,,0.77991,0.25622,0.91666,0.49488,,-1.22978,,,,-0.11335,0.037335,,,,-0.102685,0.13642,0.066885,0.010395,-0.19963,0.43365,0.185185,0.68344,-0.0235,,0.18314,0.18477,1.244965,0.294685,,0.04988,-0.3048,0.291625,1.25208,,-0.08512,,,,0.127705,1.372195,,,,0.136555,-0.011555,0.04101,0.013135,-0.2022,-0.350245,-0.115345,0.068135,0.02858,,1.01744,-0.18418,-0.03393,0.20078
1208,-0.149165,0.35279,3.28786,-0.038555,-0.461595,-0.2036,-0.606155,-0.339355,-0.006355,0.237675,-0.188135,-0.19568,-0.222215,-0.05283,-0.19838,0.77541,-0.240985,0.17353,-1.6009,-0.294925,-0.781635,0.751805,0.549315,0.780395,0.184575,0.82871,0.599795,0.649455,-0.322425,0.3777,-0.14804,0.76641,0.34786,-0.196955,0.024475,0.19338,-0.608825,1.750865,-0.04567,0.199955,-0.335395,-0.471995,0.19578,0.189565,0.517305,-0.02703,0.37108,0.472845,-0.601385,-0.16365,0.649445,1.19037,-0.086305,0.121575,0.69247,1.218195,0.080605,-0.531015
1209,,,0.42787,,-0.360755,-0.14205,0.23701,,1.13982,0.36897,-0.281595,0.056365,0.07506,-0.00689,2.15638,-0.16662,-0.435855,0.578505,0.987275,0.116675,0.632015,1.564955,1.038975,0.585215,-0.07958,0.62304,1.510345,0.720625,0.453525,0.5218,,-0.010945,,-7.00E-05,-0.340565,0.114195,,1.513145,0.13428,-0.279955,-2.405375,-1.603675,-0.58774,0.87878,-0.184435,0.263305,-0.22119,-0.004255,0.322345,-0.17138,0.0316,0.008825,-0.073505,0.400935,-0.092245,0.456275,0.53853,-0.0113
1210,-0.003335,0.20846,0.05243,-0.17335,-0.82952,0.100275,-0.14747,,0.483725,0.187735,0.011955,-0.28402,0.06691,,0.081335,0.084325,0.26023,0.43124,-0.110035,-0.274655,0.18449,0.519745,0.936645,0.04425,0.281075,0.31967,,1.623575,0.19945,-0.16559,0.372895,-0.02357,-0.24051,-0.099355,0.551475,-0.16696,,0.23708,-0.930375,-0.02941,-0.203075,-0.569665,,0.20014,0.09009,0.21328,0.08052,-0.04801,-0.087045,0.791905,0.06762,-0.098715,0.021205,0.043655,0.004795,-0.077495,-0.04436,0.23438
1211,,-0.07436,-0.691915,,-0.86854,0.074075,,-0.28232,-0.01608,,0.056565,0.288475,,,0.03836,-0.03417,0.00563,0.94407,-0.1656,1.49308,,0.40556,-1.19063,0.46758,0.088575,0.571055,,0.083885,0.109545,,-0.061255,-0.519905,,-0.42183,0.91699,,0.027125,-0.17738,,0.236265,1.13767,,,-0.192215,0.04351,-0.63434,0.229585,-0.90509,-0.28,0.26201,0.064015,-0.25007,0.08232,-1.093065,0.529405,,0.142055,0.04822
1212,-0.03334,0.22296,0.21679,0.263775,0.26672,-0.11609,0.121265,-0.07699,-0.48282,-0.12044,-0.130735,0.25688,-0.170685,-0.02555,0.076135,0.09707,-0.136555,-0.1072,-0.210365,0.0618,0.21921,0.089875,0.02507,0.00428,0.049735,0.149645,0.60558,0.709525,0.052255,-0.07736,-0.250295,0.257105,0.21466,0.180375,0.180825,0.127565,0.57208,-0.47624,-0.09462,-0.23673,-0.543095,-0.082185,0.347755,0.389785,-0.062335,-0.12716,0.180795,-0.159945,0.026885,0.56483,-0.00059,0.171755,0.13436,0.17942,-0.010505,0.027265,0.7319,0.134805
1213,2.26937,,-0.13701,,1.04723,0.049455,1.013555,-0.05025,,-0.100915,,-0.64765,,,-0.13446,0.06528,0.06257,-0.15036,-0.436575,0.41768,-0.083575,-0.0122,,0.21884,,0.085035,,0.165065,0.30456,0.167655,,-0.50085,,-0.402165,2.1334,0.130875,0.03619,,-0.131475,,0.267055,,,-0.2037,0.00698,-0.133285,-0.8844,0.26683,0.75551,0.362965,0.76524,,0.120655,,0.533155,,-0.19635,0.699125
