ID,sex,age_years,right_handedness,years_in_education,highest_education_level,current_education_level,digit_span_forward,digit_span_backward,grammatical_sensitivity,nback_1_back_dprime,nback_2_back_dprime,nback_3_back_dprime,one_minute_reading,predictive_sent_proc_RT,predictive_sent_proc_accuracy,perceptual_speed_visual_RT,perceptual_speed_auditory_RT,perceptual_speed_visual_decision,SEGM_RT_training,SEGM_RT_TRN3_RND4,SEGM_RT_RND4_REC5,SEGM_ACC_training,SEGM_ACC_TRN3_RND4,SEGM_ACC_RND4_REC5,SEGM_2AFC_bigram,SEGM_2AFC_trigram,SEGM_production,AGL_ACC_training,AGL_2AFC_phrase,AGL_2AFC_sentence,AGL_production,selfpaced_gardenpath_target,selfpaced_violation_processing_target,simon_RT,simon_accuracy,stroop_RT,stroop_accuracy,pragmatic_comprehension
5006,male,25.66944444,1,18,BA_BSc,MA_MSc,7,5,0.846153846,2.563103131,1.155890219,4.011543691,266,0.889842,0.136363636,0.2783875,0.260415,1.142595,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.023809524,0.5,0.75,0.375,0.087861667,-0.033716875,0.0139,-0.025,0.1842325,0.033333333,0.555555556
5008,female,26.70277778,1,19,MA_MSc,NA,7,7,0.846153846,5.546442359,1.71092314,0.524400513,351,0.587077,0,0.28424,0.2981875,0.76803,-0.173615,0.06316,-0.0119,-0.0625,-0.125,0,0.666666667,0.555555556,0.583333333,0.119047619,0.318181818,0.5625,0.458333333,0.3238605,0.032411875,0.0925825,0.175,0.292775,0.033333333,0.888888889
5009,female,55.74722222,1,16,BA_BSc,NA,5,5,NA,-3.42326956,-0.398739166,NA,NA,0.217608,0.045454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013428571,0.156857143,0.078,0,0.1205,-0.016666667,0.666666667
5012,male,26.95,1,17,MA_MSc,PhD,7,5,0.692307692,-0.524400513,1.421753856,1.366021746,389,0.329094,0.045454545,0.302935,0.2983825,0.836585,0.2172325,0.4074025,0.382615,0.0625,0.125,0.0625,0.722222222,0.722222222,0.916666667,0.047619048,0.545454545,0.75,0.458333333,0.001685833,0.100901429,0.0029025,0.05,0.44287,0.066666667,0.777777778
5013,female,25.44444444,1,19,BA_BSc,MA_MSc,7,8,0.923076923,0,0,-3.740490281,330,1.016608,0.181818182,0.2979,0.2693575,0.755055,-0.0407625,0.02591,-0.02186,0,0.0625,0.0625,0.611111111,0.611111111,1,0,0.772727273,1,0.666666667,-0.019273889,0.018880625,0.02708,0,0.1509075,0.05,0.888888889
5016,male,31.36388889,1,15,secondary,OKJ,7,5,0.923076923,5.546442359,-0.58827413,NA,434,0.8403925,0.409090909,0.2879075,0.3089,0.745095,0.09906,0.10337,0.1093625,-0.0625,0,0.0625,0.555555556,0.833333333,0.666666667,0.071428571,0.590909091,0.625,0.583333333,-0.101475714,0.00150625,0.037675,-0.05,0.202615,0.066666667,0.666666667
5018,male,28.96111111,1,15,secondary,NA,5,6,0.615384615,5.546442359,-0.904419973,NA,189,0.848767001,0.136363636,0.2992625,0.3433375,1.18999,0.002895,0.11111,NA,-0.0625,0.25,-0.5625,0.388888889,0.5,0.5,NA,NA,NA,NA,0.380351429,1.823380833,0.0212875,0.025,0.705505,0.016666667,0.555555556
5021,male,54.01666667,1,15,BA_BSc,NA,5,5,0.615384615,1.805952078,1.644853627,-3.42326956,326,0.9999425,0.04743083,0.3064875,0.275275,1.09438,-0.0190225,0.0151525,0.0204825,0,0.0625,0.0625,0.722222222,0.666666667,0.166666667,-0.380952381,0.590909091,0.875,0.375,0.562465714,0.646893125,0.072175,0,0.1493525,0.016666667,0.333333333
5022,male,37.70833333,1,18,BA_BSc,NA,7,4,0.846153846,5.546442359,4.264890794,2.983339228,322,0.646722,0.458498024,0.255005,0.2433025,0.8834525,0.11993,0.213125,0.2068275,0.0625,0.1875,0.1875,0.722222222,0.833333333,0.833333333,0.047619048,0.5,0.75,0.375,0.0784975,0.107104375,0.0376775,0.125,0.14711,0.016666667,0.833333333
5024,male,22.27777778,1,15,BA_BSc,BA_BSc,6,5,0.846153846,8.529781588,2.486474861,0.58827413,NA,0.162945,0,0.308965,0.2982225,0.8151475,-0.0065975,0.0811175,0.032305,-0.0625,0.1875,0.125,0.444444444,0.666666667,0.416666667,0,0.454545455,0.625,0.5,0.027967143,0.057838571,0.117855,0.175,0.3873175,0.1,0.555555556
