ID,vegyes_1,vegyes_2,lexikalis_disztribucios_3,mondatresz_disztribucios_4,topik_fokusz_5,kotoszo_6,mondatresz_disztribucios_7,alaktan_disztribucios_8,alaktan_disztribucios_9,lexikalis_disztribucios_10,kotoszo_11,vegyes_12,alaktan_disztribucios_13,mondatresz_disztribucios_14,alaktan_disztribucios_15,vegyes_16,lexikalis_disztribucios_17,lexikalis_disztribucios_18,mondatresz_disztribucios_19,vegyes_20
1321,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
1322,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1
1323,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1324,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
1325,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1
1327,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
1328,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1
1329,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1331,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1
1332,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1
1334,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0
1335,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0
1336,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0
1337,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
1338,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0
1339,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
1341,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
1342,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
1343,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1
1345,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0
1346,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1
1347,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1
1348,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0
1349,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1350,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
1351,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1352,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1353,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
1354,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1
1355,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
1356,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
1357,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1
1358,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
1359,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1
1360,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1
1361,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1
1362,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1
1363,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
1364,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1
1365,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0
1366,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
1367,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1
1368,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
1369,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0
1371,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0
1372,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0
1373,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0
1374,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
1375,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1
1376,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1
1377,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
1378,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0
1379,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
1380,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1
