ID,dichotic_nonforced_lat_index,digit_span_forward_span,digit_span_backward_span,MENYET_mean_ACC_all,n_back_nback_1_dprime,n_back_nback_2_dprime,n_back_nback_3_dprime,OMR_read_syls,predictive_RT_score,PROC_SPEED_vis_RT_med,PROC_SPEED_ac_RT_med,PROC_SPEED_vis_dec_RT_med,PROC_SPEED_ac_dec_RT_med,rec_vocab_ACC,SAT_ACC,SEGM_AL_medRT_train,SEGM_AL_medRT_TRN3_RND4,SEGM_AL_medRT_RND4_REC5,SEGM_AL_ACC_train,SEGM_AL_ACC_TRN3_RND4,SEGM_AL_ACC_RND4_REC5,SEGM_AL_2AFC_all,SEGM_AL_SEGM_prod_data,SEGM_VN_medRT_train,SEGM_VN_medRT_TRN3_RND4,SEGM_VN_medRT_RND4_REC5,SEGM_VN_ACC_train,SEGM_VN_ACC_TRN3_RND4,SEGM_VN_ACC_RND4_REC5,SEGM_VN_2AFC_all,SEGM_VN_SEGM_prod_data,AGL_2AFC_phr,AGL_2AFC_sent,AGL_prod,selfpaced_target_RT_diff_sertes,simon_RT_score,stroop_RT_score,stroop_ACC_score,trog_pragm_ACC_mean
6101,46.15384615384615,6.0,5.0,,5.546442359,4.939380544,1.281551566,,0.3070715000052526,0.310005,0.26154,0.90631,,,0.3333333333333333,,,,0.0,0.0625,0.0625,,,0.0431,0.255525,0.221815,0.0,0.0,0.0,0.722222222,0.916666667,0.5454545454545454,0.5,0.25,,0.02109,0.1754799999999998,0.0999999999999999,0.6111111111111112
6102,40.74074074074074,6.0,4.0,,4.789291307,0.0,0.0,,-0.0634785000053527,0.3373025,0.3115075,1.3808825,,,,,,,0.125,0.375,0.5625,,,0.02519,0.0662275,0.1112425,0.066666667,0.2,0.266666667,0.472222222,0.333333333,0.3181818181818182,0.5,0.375,,0.0311949999999999,0.4240600000000001,0.1166666666666667,0.8888888888888888
6103,7.6923076923076925,5.0,4.0,,1.534898669,-1.036433389,-1.028204462,,0.381089999282062,0.4101375,0.3919025,,,,0.5,,,,0.125,0.25,0.125,,,0.4074475,0.456425,0.3584125,0.133333333,0.133333333,0.066666667,0.527777778,0.833333333,0.6363636363636364,0.8125,0.375,,,0.263735,0.0999999999999999,0.6111111111111112
6104,-30.76923076923077,5.0,2.0,,0.0,-0.127685756,0.317220721,,0.1926310000919029,0.343995,0.3910774999999999,1.185775,,,0.5,,,,0.0,0.1875,0.1875,,,0.229415,0.4836575,0.4245725,0.466666667,0.333333333,0.333333333,0.583333333,0.583333333,0.4545454545454545,0.625,0.375,,0.0803924999999999,0.0743249999999999,-0.0166666666666667,0.7777777777777778
6105,-62.96296296296296,5.0,4.0,,4.789291307,-1.89820073,-1.805952078,,0.4267214999157711,0.4344125,0.3843225,1.33503,,,0.0,,,,0.0625,0.1875,0.1875,,,-0.1328475,0.110015,0.38604,-0.466666667,-0.333333333,0.0,0.527777778,0.666666667,0.4545454545454545,0.4375,0.4583333333333333,,0.0847449999999999,0.3998250000000001,0.9666666666666666,0.7222222222222222
6107,30.434782608695656,7.0,4.0,,4.789291307,3.228457404,3.42326956,,0.3471139993626774,0.4588025,0.3877874999999999,1.488235,,,0.5,,,,,,,,,-0.0723925,-0.064989999,-0.117819999,-0.133333333,0.066666667,0.0,0.416666667,0.5,0.6818181818181818,0.5,0.4166666666666667,,0.13773,0.2472525004999999,0.0666666666666666,0.6666666666666666
6111,50.0,2.0,2.0,,0.0,-0.25965912,-0.777747616,,0.3022324999995622,0.4798725,0.1395025,,,,0.6666666666666666,,,,0.5625,0.3125,0.4375,,,0.14989,0.2667525,-0.0662075,-0.333333333,-0.133333333,-0.533333333,0.611111111,0.75,0.7272727272727273,0.4375,0.4166666666666667,,0.15742,0.2299249999999999,0.55,0.5555555555555556
6112,25.0,2.0,2.0,,2.983339228,-4.011543691,-5.106512027,,0.0957929999999656,0.2713925,0.2440375,,,,0.3333333333333333,,,,-0.125,0.0,-0.0625,,,-0.0714375,-0.06986,0.070775,-0.066666667,0.0,-0.133333333,0.555555556,0.166666667,0.5,0.8125,0.375,,,-0.2110425,0.8833333333333333,0.6666666666666666
6113,-4.0,5.0,5.0,,1.094968337,1.162094736,-1.094968337,,0.2481380005936624,0.2851875,0.2783474999999999,0.91399,,,1.0,,,,-0.0625,0.0625,0.125,,,-0.136115,-0.028955,0.055025,0.2,0.133333333,0.0,0.694444444,0.5,0.5454545454545454,0.625,0.75,,0.0276549999999999,0.4586575000000001,0.0999999999999999,0.8888888888888888
6114,4.3478260869565215,2.0,3.0,,4.789291307,-0.253347103,-0.253347103,,0.651064999985993,0.370315,0.3874875,2.252165,,,0.5,,,,-0.125,0.0,0.0625,,,-0.01102,0.074475,0.0475275,-0.133333333,0.0,0.066666667,0.444444444,0.25,0.5909090909090909,0.5,0.3333333333333333,,-0.0025749999999999,0.3401375,0.1166666666666667,0.6666666666666666
6115,8.333333333333332,6.0,6.0,,4.518237897,1.289780493,-0.27105341,,0.1252884999334289,0.36993,0.3805975,,,,0.8333333333333334,,,,0.0625,0.125,0.25,,,0.2524,0.483995,0.594425,-0.066666667,0.066666667,0.133333333,0.527777778,0.916666667,0.6818181818181818,0.5625,0.2916666666666667,,0.0744,0.591235,0.05,0.7222222222222222
6116,9.090909090909092,4.0,3.0,,1.805952078,0.512032877,-0.27105341,,0.2679030000302866,0.3703575,0.415875,0.51462,,,0.8333333333333334,,,,0.0625,0.375,0.3125,,,0.492945,0.590205,0.55552,0.0,0.0,0.0,0.555555556,0.333333333,0.2272727272727272,0.75,0.3333333333333333,,0.1517124999999999,0.5802049999999999,0.15,0.7777777777777778
6117,-9.090909090909092,5.0,3.0,,1.028204462,-0.127685756,0.841621234,,0.203274999704361,0.3474399999999999,0.340595,1.1619675,,,0.8333333333333334,,,,0.125,0.1875,-0.1875,,,0.1953475,0.285312501,0.262565,0.2,0.066666667,-0.066666667,0.416666667,0.416666667,0.6818181818181818,0.75,0.4166666666666667,,0.0073349999999999,0.1252925,0.0166666666666667,0.7222222222222222
6118,0.0,6.0,5.0,,1.534898669,1.407212912,0.0,,0.3409379999997972,0.3026625,0.359835,,,,0.6666666666666666,,,,0.1875,0.4375,0.375,,,-0.08388,0.0036,0.027655,0.133333333,0.0,-0.266666667,0.388888889,0.583333333,0.5454545454545454,0.8125,0.25,,0.0112,0.6569699999999998,0.1499999999999999,0.7222222222222222
6120,18.51851851851852,6.0,4.0,,1.366021746,0.361943639,-3.740490281,,0.4671640001373141,0.4290825,0.3566675,,,,0.5,,,,0.0,0.3125,0.3125,,,0.476275,0.48468,0.36869,0.0,0.0,-0.066666667,0.555555556,0.416666667,0.3636363636363636,0.4375,0.4166666666666667,,,0.3049349999999999,0.0166666666666667,0.7222222222222222
6122,21.73913043478261,7.0,6.0,,1.805952078,0.0,1.534898669,,0.2911164999954599,0.4389,0.3859775,1.3356,,,0.1666666666666666,,,,-0.625,-0.3125,0.25,,,-0.0405175,0.0443225,0.03095,-0.066666667,0.066666667,0.0,0.416666667,0.5,0.5909090909090909,0.5625,0.4166666666666667,,0.052475,0.22781,0.0333333333333333,0.8888888888888888
6124,-21.73913043478261,4.0,4.0,,1.366021746,-0.715959887,-0.317220721,,0.4301180000637026,0.453805,0.4485274999999999,,,,0.8333333333333334,,,,0.125,0.125,-0.3125,,,0.14965,0.63995,0.37555,-0.066666667,0.066666667,0.066666667,0.666666667,0.666666667,0.6363636363636364,0.5625,0.4166666666666667,,,0.19831,0.0333333333333333,0.5
6125,-11.11111111111111,6.0,2.0,,4.011543691,0.0,-3.42326956,,0.3050029999838182,0.3830924995,0.336055,1.19379,,,1.0,,,,0.3125,0.0625,0.1875,,,-0.048015,0.03192,0.03068,-0.133333333,0.0,-0.133333333,0.527777778,0.25,0.6818181818181818,0.4375,0.4166666666666667,,0.0351724995,0.4138524999999999,0.0833333333333332,0.6666666666666666
6126,47.82608695652174,5.0,4.0,,-0.439930332,-0.456300767,-0.253347103,,0.5427270000001458,0.6121175,0.503065,1.571775,,,0.3333333333333333,,,,-0.125,0.1875,0.0625,,,-0.07082,-0.038995,0.073435,-0.2,-0.066666667,0.0,0.472222222,0.333333333,0.5909090909090909,0.5625,0.25,,0.2192349999999999,0.5148125000000001,0.0166666666666666,0.7222222222222222
6127,-23.07692307692308,6.0,5.0,,1.683242467,2.620037167,0.0,,0.4098780000494719,0.2981625,0.291485,1.469225,,,1.0,,,,0.125,0.25,0.25,,,0.33755,0.559985002,0.239407501,-0.066666667,0.333333333,0.333333333,0.694444444,0.416666667,0.5909090909090909,0.5625,0.2916666666666667,,0.0659175,0.133765,0.0166666666666667,0.8333333333333334
6128,18.51851851851852,6.0,5.0,,8.529781588,0.0,-0.253347103,,0.4611600000827387,0.3526125,0.3180475,0.907305,,,0.6666666666666666,,,,0.0,0.4375,0.5,,,0.508635,0.335415,0.11536,0.133333333,-0.066666667,0.0,0.472222222,0.583333333,0.5454545454545454,0.5625,0.375,,0.0245849999999999,0.2749875,0.1666666666666666,0.5
