ID;sex;age_years;right_handedness;years_in_education;highest_education_level;current_education_level;digit_span_forward;digit_span_backward;grammatical_sensitivity;nback_1_back_dprime;nback_2_back_dprime;nback_3_back_dprime;one_minute_reading;predictive_sent_proc_RT;predictive_sent_proc_accuracy;processing_speed_visual_RT;processing_speed_auditory_RT;processing_speed_visual_decision;SEGM_RT_training;SEGM_RT_TRN3_RND4;SEGM_RT_RND4_REC5;SEGM_ACC_training;SEGM_ACC_TRN3_RND4;SEGM_ACC_RND4_REC5;SEGM_2AFC_bigram;SEGM_2AFC_trigram;SEGM_production;AGL_ACC_training;AGL_2AFC_phrase;AGL_2AFC_sentence;AGL_production;selfpaced_gardenpath_target;selfpaced_violation_processing_target;simon_RT;simon_accuracy;stroop_RT;stroop_accuracy;pragmatic_comprehension
2103;male;23.65277778;1;16;BA_BSc;BA_BSc;0.345144296;0.907046698;0.895927176;0.388724105;0.629761679;1.72569671;1.200561446;0.387086154;-0.526436163;-0.226488874;0.12086037;-0.608727865;;;;;;;;;;;;;;-0.418379813;-0.79768816;-0.458701684;-0.496419784;0.577489435;0.769090328;1.310727207
2201;female;21.16388889;1;14;secondary;BA_BSc;0.345144296;-0.122989383;1.314089597;0.48755164;-0.327457063;-1.970648036;-1.52767465;1.043292539;1.622968973;-0.764582379;-0.716895597;-0.749197167;;;;;;;;;;;;;;-0.823991226;-0.481858014;0.249468387;-0.16630688;-0.964959838;-0.551882148;-0.893910827
2202;female;24.375;1;18;BA_BSc;BA_BSc;;;-0.358560085;-0.540710961;-0.266460522;0.132450441;0.146974335;1.265559971;1.085617683;0.594186251;0.581500447;0.218074793;;;;;;;;;;;;;;-0.045302586;0.137350403;-0.853645363;-0.826532689;-0.177186027;0.622315606;1.310727207
2203;female;21.95833333;1;14;secondary;BA_BSc;0.90162026;-0.122989383;0.477764756;0.624608355;0.266690221;-0.012688768;0.390962929;-1.198242844;0.010915115;-0.94522334;-0.366270934;0.215669252;;;;;;;;;;;;;;-0.560592457;-0.677664868;0.126405218;1.154144738;-0.051876038;0.181991447;-0.526471152
2204;female;21.59722222;1;15;secondary;BA_BSc;-0.211331668;-0.122989383;0.059602335;-0.441883426;-0.192229786;-0.012688768;0.213516679;0.687898673;0.010915115;-0.17155712;-0.527173714;-0.156476036;;;;;;;;;;;;;;-0.967376086;-0.779611804;-1.07494561;-0.826532689;-0.105562119;-0.405107425;1.310727207
2205;female;23.76666667;1;16;MA_MSc;BA_BSc;-0.211331668;-0.122989383;1.314089597;-1.266713353;-0.56457933;0.014990593;-1.339138009;-1.273252271;-0.526436163;-0.350173353;0.027605663;1.11440369;;;;;;;;;;;;;;-0.379339166;-0.537003015;-0.793552299;-1.156645593;0.657164982;-0.111557989;0.575847862
2206;female;21.01388889;1;14;secondary;BA_BSc;1.458096224;0.392028657;-0.358560085;1.554043422;0.594559559;0.242237336;-0.751347306;-0.406816458;0.010915115;-0.369276222;1.771184687;0.009750898;;;;;;;;;;;;;;-0.254704127;-0.248107825;-0.052899491;-0.496419784;-0.806258482;-0.405107425;-0.159031483
2207;female;22.49722222;1;15;secondary;BA_BSc;0.345144296;-0.638007423;0.059602335;-1.004513104;-0.95350871;-0.313117611;0.457505273;;;-0.284765831;-0.47004764;-0.162744711;;;;;;;;;;;;;;-0.115513281;-0.728359088;0.769841835;0.493918929;-0.086286599;-0.405107425;1.310727207
2208;female;21.14444444;1;15;secondary;BA_BSc;2.014572188;2.452100818;0.895927176;0.624608355;1.097959771;-0.313117611;-0.729166525;0.105101497;0.010915115;-0.988358852;-0.646174728;0.211449363;;;;;;;;;;;;;;0.734301907;0.168542692;-0.173549657;0.493918929;-0.070208803;-0.258332712;0.943287538
2210;female;20.72777778;1;14;secondary;BA_BSc;0.345144296;0.392028657;1.314089597;0.624608355;0.490578291;1.72569671;-0.751347306;-0.975477321;-0.526436163;-0.044703502;0.831933332;-0.951201421;;;;;;;;;;;;;;1.139593924;0.056162076;-0.304315875;-0.826532689;0.768091586;-0.551882148;1.310727207
2211;female;21.71111111;1;15;secondary;BA_BSc;0.345144296;0.907046698;0.477764756;1.554043422;0.505898766;0.132450441;-0.396454806;1.056568656;-0.526436163;-0.996985954;-0.24200892;0.637984332;;;;;;;;;;;;;;0.225573063;2.447128572;-0.280649881;-0.826532689;-0.343709703;-0.258332712;0.943287538
2212;male;17.03888889;1;10;primary;secondary;0.90162026;-0.638007423;-3.703859443;-0.677767677;-0.800122739;-1.970648036;0.424234101;-1.555138892;0.010915115;-0.765330648;-0.548590172;-0.172713435;;;;;;;;;;;;;;-1.747836222;0.382602166;0.04881788;2.144483451;0.543231753;0.181991447;-0.159031483
2213;female;20.2;1;14;secondary;BA_BSc;0.90162026;-0.122989383;0.059602335;-0.441883426;0.953163433;0.71673723;0.246787851;-0.101611247;4.333088491;-0.410122911;-0.146193549;-0.674258461;;;;;;;;;;;;;;-0.621926992;-0.759947602;-1.341907304;-0.496419784;0.145580197;2.090062804;-0.159031483
2214;female;21.22777778;1;14;secondary;BA_BSc;0.345144296;0.392028657;1.314089597;0.624608355;0.505898766;0.469484079;-0.584991446;1.181335059;-1.017061244;-0.83896913;-0.736403197;-0.875712294;;;;;;;;;;;;;;0.444245976;1.113769197;-0.285475888;-0.496419784;-1.092537536;-0.111557989;0.943287538
2215;female;20.94722222;;15;secondary;BA_BSc;-0.211331668;-0.122989383;0.477764756;-0.30482671;1.52717974;0.132450441;-0.607172228;-0.941635557;-0.526436163;-1.027709003;-0.67220038;2.151945977;;;;;;;;;;;;;;0.728066863;0.393263418;-0.477263248;-0.496419784;-0.12471024;-0.111557989;0.943287538
2301;female;21.03888889;1;14;secondary;BA_BSc;0.90162026;-0.122989383;-2.031209761;1.554043422;0.270355356;0.359697184;-0.263370118;-0.763350401;0.010915115;-0.615544783;-0.084644512;-0.321551164;;;;;;;;;;;;;;-0.535071141;-0.052606854;-0.086495922;-1.486758498;-0.05531582;-0.405107425;0.943287538
2302;female;28.51944444;1;18;BA_BSc;BA_BSc;-0.211331668;-0.122989383;0.059602335;-0.762212162;0.006814344;-0.212256149;1.522182774;-1.093430148;0.010915115;-0.498154569;-0.639703233;;;;;;;;;;;;;;;0.040250412;-0.66921354;-0.051878605;1.484257642;-0.776791015;0.328766169;0.575847862
