ID,gramm_0,gramm_1,gramm_2,gramm_3,gramm_4,gramm_5,gramm_6,gramm_7,gramm_8,gramm_9,gramm_10,gramm_11,gramm_12,gramm_13,gramm_14,gramm_15,gramm_16,gramm_17,pragm_0,pragm_1,pragm_2,pragm_3,pragm_4,pragm_5,pragm_6,pragm_7,pragm_8,pragm_9,pragm_10,pragm_11,pragm_12,pragm_13,pragm_14,pragm_15,pragm_16,pragm_17,total
2307,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.8823529411764706
2308,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0.9411764705882353
2310,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0.9411764705882353
2312,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0.9411764705882353
2314,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0.8235294117647058
2315,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.9411764705882353
2317,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0.9411764705882353
2320,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0.7647058823529411
2321,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0.9411764705882353
2323,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.9411764705882353
2324,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0.8823529411764706
2325,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0.9411764705882353
