sentence,"A hal kék, de nem pöttyös.","A zsiráfnak van egy hosszú, kockás, fekete-fehér nyakkendője.",A kisfiú palacsintát süt a bohócnak.,A kecskét a kakas kergeti.,A lány az ágyon ugrál és a macska a szőnyegen fekszik.,"A pöttyös labda nagyobb, mint a csíkos kancsó",A sárga táska a zöld széken van,A zöld csésze a kockás vödör fölött van.,"A fiú, aki megpuszilja a lányt, az barna hajú.","A szív, ami a négyzetben van, az pöttyös.","A boszorkány, aki a seprűn lovagol, ellopta a nyakláncot.","A kislány, aki a busz elejénél áll, piros szoknyában van.","A sárkány, aki a szekrény mögé bújt, csokit eszik.","A könyv azon a tányéron van, ami kék.","A lány azt a macskát kergeti, ami kövér.","A felhő, ami előtt a madár van, az lila.","A róka, amit a malac kerget, az kicsi.","A bohóc alszik, de az elefánt nem.",A malac locsolja meg a fát.,A szarvas a tévét szereli meg.,A szoba egy rettenetes disznóól.,A hegedűtanár egy sárkány.,Pisti egy igazi éjszakai bagoly.,Julcsi húga nagyon nyuszi volt a mikulásünnepségen.,A kislánynak van legalább 3 kutyája.,A legtöbb malac kapott kukoricát,Néhány alma kigurult a kosárból.,A festő rajzolt egy házat.,A fiú már elkészült a homokvárral.,A virágot már kiszínezte a bohóc.,A malac is felmászott a fára.,A fiú a békát is megfogta.,Piros lufit minden gyerek kapott.,Kalapja a libának is van.,"De ügyes vagy, hogy eltörted a poharat.","Látom, lustálkodtál egész nap, meg is telt a kosár."
ID,gramm_0,gramm_1,gramm_2,gramm_3,gramm_4,gramm_5,gramm_6,gramm_7,gramm_8,gramm_9,gramm_10,gramm_11,gramm_12,gramm_13,gramm_14,gramm_15,gramm_16,gramm_17,pragm_0,pragm_1,pragm_2,pragm_3,pragm_4,pragm_5,pragm_6,pragm_7,pragm_8,pragm_9,pragm_10,pragm_11,pragm_12,pragm_13,pragm_14,pragm_15,pragm_16,pragm_17
2202,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2203,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0
2204,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
2206,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0
2207,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
2210,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2211,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
2212,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
2213,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1
2214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2215,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
2301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
2303,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
2305,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
2306,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2307,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2308,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
2309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2310,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1
2311,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2312,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
2313,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
2314,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1
2315,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
